Recipe_url,grams_converted,flour,vanilla_to_flour
https://ashbaber.com/easy-fudgy-blondies/,10.0,240.0,0.041666666666666664
https://bromabakery.com/the-best-chewy-blondies/,15.0,120.0,0.125
https://cakesbymk.com/recipe/easy-blondies-recipe/,15.0,210.0,0.07142857142857142
https://cheflindseyfarr.com/classic-chewy-blondies/,7.5,270.0,0.027777777777777776
https://cloudykitchen.com/blog/brown-butter-blondies/,2.5,140.0,0.017857142857142856
https://eatsdelightful.com/classic-blondie-bars-recipe/,5.0,120.0,0.041666666666666664
https://handletheheat.com/blondie-recipe/,10.0,191.0,0.05235602094240838
https://iambaker.net/blondie-recipe/,7.5,285.0,0.02631578947368421
https://joythebaker.com/2023/02/my-best-classic-blondie-recipe/,10.0,190.0,0.05263157894736842
https://moleinthewall.com/classic-blondie-recipe/,10.0,120.0,0.08333333333333333
https://preppykitchen.com/blondie-recipe/,10.0,210.0,0.047619047619047616
https://sugarspunrun.com/blondies-recipe/,10.0,270.0,0.037037037037037035
https://veenaazmanov.com/classic-blondies-recipe/,10.0,240.0,0.041666666666666664
https://www.bbcgoodfood.com/recipes/easy-blondies,5.0,200.0,0.025
https://www.biggerbolderbaking.com/best-ever-blondies/,15.0,284.0,0.0528169014084507
https://www.cookwithkushi.com/best-blondie-recipe-blondies/,10.0,300.0,0.03333333333333333
https://www.fivehearthome.com/easy-one-bowl-blondies-customizable-recipe/,5.0,120.0,0.041666666666666664
https://www.food.com/recipe/classic-blondies-57250,30.0,360.0,0.08333333333333333
https://www.giftofhospitality.com/really-good-classic-blondies/,5.0,180.0,0.027777777777777776
https://www.livewellbakeoften.com/blondie-recipe/,10.0,240.0,0.041666666666666664
https://www.loveandlemons.com/blondie-recipe/,15.0,180.0,0.08333333333333333
https://www.rachelcooks.com/blondie-recipe/,10.0,120.0,0.08333333333333333
https://www.recipetineats.com/blondies/,5.0,120.0,0.041666666666666664
https://www.simplyrecipes.com/recipes/blondies/,5.0,128.0,0.0390625
https://www.smalltownwoman.com/blondies-recipe/,10.0,240.0,0.041666666666666664
https://www.somethingswanky.com/classic-chocolate-chip-blondies/,15.0,120.0,0.125
https://www.tastingtable.com/2122453/best-buttery-blondies-recipe/,10.0,210.0,0.047619047619047616
https://www.thepioneerwoman.com/food-cooking/recipes/a39177844/blondies-recipe/,15.0,240.0,0.0625
https://www.wyseguide.com/classic-blondies/,10.0,240.0,0.041666666666666664
https://www.yellowblissroad.com/classic-blondies-recipe/,7.5,120.0,0.0625
