Recipe_url,add_ins,baking_powder,butter,cornstarch,egg,flour,salt,sugar,vanilla,butter_to_flour,butter_to_sugar,sugar_to_flour,whole_eggs,egg_yolks,fat_ratio,sugar_ratio,brown,white,brown_ratio,white_ratio
https://ashbaber.com/easy-fudgy-blondies/,150.0,1.0,160.0,,,240.0,,300.0,10.0,0.6666666666666666,0.5333333333333333,1.25,2,0,0.6666666666666666,1.25,200.0,100.0,0.6666666666666666,0.3333333333333333
https://bromabakery.com/the-best-chewy-blondies/,,1.0,113.5,,,120.0,,200.0,15.0,0.9458333333333333,0.5675,1.6666666666666667,1,1,0.9458333333333333,1.6666666666666667,200.0,0.0,1.0,0.0
https://cakesbymk.com/recipe/easy-blondies-recipe/,,2.0,230.75,30.0,,210.0,,266.66666666666663,15.0,1.098809523809524,0.8653125000000002,1.2698412698412698,2,0,1.098809523809524,1.2698412698412698,266.66666666666663,0.0,1.0,0.0
https://cheflindseyfarr.com/classic-chewy-blondies/,,5.0,227.0,,,270.0,,400.0,7.5,0.8407407407407408,0.5675,1.4814814814814814,2,0,0.8407407407407408,1.4814814814814814,400.0,0.0,1.0,0.0
https://cloudykitchen.com/blog/brown-butter-blondies/,220.0,1.0,150.0,,50.0,140.0,1.5,160.0,2.5,1.0714285714285714,0.9375,1.1428571428571428,1,0,1.0714285714285714,1.1428571428571428,100.0,60.0,0.625,0.375
https://eatsdelightful.com/classic-blondie-bars-recipe/,,2.0,113.5,,,120.0,,200.0,5.0,0.9458333333333333,0.5675,1.6666666666666667,1,0,0.9458333333333333,1.6666666666666667,200.0,0.0,1.0,0.0
https://handletheheat.com/blondie-recipe/,281.0,1.0,170.0,,,191.0,,300.0,10.0,0.8900523560209425,0.5666666666666667,1.5706806282722514,1,1,0.8900523560209425,1.5706806282722514,300.0,0.0,1.0,0.0
https://iambaker.net/blondie-recipe/,250.0,4.0,227.0,6.0,,285.0,,350.0,7.5,0.7964912280701755,0.6485714285714286,1.2280701754385965,2,1,0.7964912280701755,1.2280701754385965,350.0,0.0,1.0,0.0
https://joythebaker.com/2023/02/my-best-classic-blondie-recipe/,100.0,4.0,179.0,,,190.0,,300.0,10.0,0.9421052631578948,0.5966666666666667,1.5789473684210527,2,0,0.9421052631578948,1.5789473684210527,250.0,50.0,0.8333333333333334,0.16666666666666666
https://moleinthewall.com/classic-blondie-recipe/,,24.0,340.5,,,120.0,,300.0,10.0,2.8375,1.135,2.5,2,0,2.8375,2.5,300.0,0.0,1.0,0.0
https://preppykitchen.com/blondie-recipe/,180.0,5.0,113.0,,,210.0,,220.0,10.0,0.5380952380952381,0.5136363636363637,1.0476190476190477,1,0,0.5380952380952381,1.0476190476190477,220.0,0.0,1.0,0.0
https://sugarspunrun.com/blondies-recipe/,,2.0,227.0,6.0,,270.0,,350.0,10.0,0.8407407407407408,0.6485714285714286,1.2962962962962963,2,1,0.8407407407407408,1.2962962962962963,250.0,100.0,0.7142857142857143,0.2857142857142857
https://veenaazmanov.com/classic-blondies-recipe/,,6.0,227.0,,,240.0,,300.0,10.0,0.9458333333333333,0.7566666666666667,1.25,2,0,0.9458333333333333,1.25,200.0,100.0,0.6666666666666666,0.3333333333333333
https://www.bbcgoodfood.com/recipes/easy-blondies,200.0,2.0,175.0,,,200.0,,300.0,5.0,0.875,0.5833333333333334,1.5,3,0,0.875,1.5,200.0,100.0,0.6666666666666666,0.3333333333333333
https://www.biggerbolderbaking.com/best-ever-blondies/,255.0,,225.0,,,284.0,,340.0,15.0,0.7922535211267606,0.6617647058823529,1.1971830985915493,2,0,0.7922535211267606,1.1971830985915493,340.0,0.0,1.0,0.0
https://www.cookwithkushi.com/best-blondie-recipe-blondies/,,4.0,200.0,,,300.0,,300.0,10.0,0.6666666666666666,0.6666666666666666,1.0,2,0,0.6666666666666666,1.0,200.0,100.0,0.6666666666666666,0.3333333333333333
https://www.fivehearthome.com/easy-one-bowl-blondies-customizable-recipe/,,,113.5,,,120.0,,200.0,5.0,0.9458333333333333,0.5675,1.6666666666666667,1,0,0.9458333333333333,1.6666666666666667,200.0,0.0,1.0,0.0
https://www.food.com/recipe/classic-blondies-57250,,8.0,340.5,,,360.0,,533.3333333333333,30.0,0.9458333333333333,0.6384375000000001,1.4814814814814812,4,0,0.9458333333333333,1.4814814814814812,200.0,333.3333333333333,0.37500000000000006,0.625
https://www.giftofhospitality.com/really-good-classic-blondies/,,8.0,113.5,,,180.0,,400.0,5.0,0.6305555555555555,0.28375,2.2222222222222223,2,0,0.6305555555555555,2.2222222222222223,400.0,0.0,1.0,0.0
https://www.livewellbakeoften.com/blondie-recipe/,190.0,4.0,170.0,,,240.0,,350.0,10.0,0.7083333333333334,0.4857142857142857,1.4583333333333333,2,0,0.7083333333333334,1.4583333333333333,200.0,150.0,0.5714285714285714,0.42857142857142855
https://www.loveandlemons.com/blondie-recipe/,,,170.25,,,180.0,,300.0,15.0,0.9458333333333333,0.5675,1.6666666666666667,2,1,0.9458333333333333,1.6666666666666667,300.0,0.0,1.0,0.0
https://www.rachelcooks.com/blondie-recipe/,,2.0,113.5,,,120.0,,200.0,10.0,0.9458333333333333,0.5675,1.6666666666666667,1,0,0.9458333333333333,1.6666666666666667,200.0,0.0,1.0,0.0
https://www.recipetineats.com/blondies/,,,125.0,,50.0,120.0,,200.0,5.0,1.0416666666666667,0.625,1.6666666666666667,1,0,1.0416666666666667,1.6666666666666667,200.0,0.0,1.0,0.0
https://www.simplyrecipes.com/recipes/blondies/,60.0,2.5,112.0,,,128.0,,220.0,5.0,0.875,0.509090909090909,1.71875,1,0,0.875,1.71875,220.0,0.0,1.0,0.0
https://www.smalltownwoman.com/blondies-recipe/,,4.0,227.0,,,240.0,,300.0,10.0,0.9458333333333333,0.7566666666666667,1.25,2,0,0.9458333333333333,1.25,200.0,100.0,0.6666666666666666,0.3333333333333333
https://www.somethingswanky.com/classic-chocolate-chip-blondies/,,,113.5,,,120.0,,200.0,15.0,0.9458333333333333,0.5675,1.6666666666666667,1,0,0.9458333333333333,1.6666666666666667,200.0,0.0,1.0,0.0
https://www.tastingtable.com/2122453/best-buttery-blondies-recipe/,,2.0,227.0,,,210.0,,250.0,10.0,1.0809523809523809,0.908,1.1904761904761905,2,0,1.0809523809523809,1.1904761904761905,250.0,0.0,1.0,0.0
https://www.thepioneerwoman.com/food-cooking/recipes/a39177844/blondies-recipe/,,4.0,170.25,,,240.0,,400.0,15.0,0.709375,0.425625,1.6666666666666667,3,0,0.709375,1.6666666666666667,400.0,0.0,1.0,0.0
https://www.wyseguide.com/classic-blondies/,,2.0,168.0,,,240.0,,400.0,10.0,0.7,0.42,1.6666666666666667,2,0,0.7,1.6666666666666667,400.0,0.0,1.0,0.0
https://www.yellowblissroad.com/classic-blondies-recipe/,,2.0,112.0,,,120.0,,200.0,7.5,0.9333333333333333,0.56,1.6666666666666667,1,0,0.9333333333333333,1.6666666666666667,200.0,0.0,1.0,0.0
